n,x,s,p,n_next,x_next,s_next,p_next,count,count_smoothed,prob
1,2,-1,-1,2,1,-1,1,0,1,0.05263157894736842
1,2,-1,-1,2,2,-3,-1,0,1,0.05263157894736842
1,2,-1,-1,2,2,-3,1,0,1,0.05263157894736842
1,2,-1,-1,2,2,-2,-1,0,1,0.05263157894736842
1,2,-1,-1,2,2,-2,1,0,1,0.05263157894736842
1,2,-1,-1,2,2,-1,-1,0,1,0.05263157894736842
1,2,-1,-1,2,2,-1,1,0,1,0.05263157894736842
1,2,-1,-1,2,3,-3,-1,0,1,0.05263157894736842
1,2,-1,-1,2,3,-3,1,0,1,0.05263157894736842
1,2,-1,-1,2,3,-2,-1,0,1,0.05263157894736842
1,2,-1,-1,2,3,-2,1,0,1,0.05263157894736842
1,2,-1,-1,2,3,-1,-1,1,2,0.10526315789473684
1,2,-1,-1,2,3,-1,1,0,1,0.05263157894736842
1,2,-1,1,2,1,-1,-1,0,1,0.03225806451612903
1,2,-1,1,2,1,-1,1,0,1,0.03225806451612903
1,2,-1,1,2,1,0,-1,0,1,0.03225806451612903
1,2,-1,1,2,1,0,1,0,1,0.03225806451612903
